Sentence,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula
It's very pretty.,93.81,1.2,0.0,3.6,-0.46,0.5,0.15,1.0,1.262
Its very reassuring to know that good community help is here for us linux beginners.,56.25,14.0,0.0,8.1,8.81,10.5,8.59,9.0,5.247333333333334
It takes 17 times more land to feed American pets than would  be required by solar farms producing enough electricity to meet all the demand in the United States.,58.96,12.98,0.0,14.7,9.7,17.5,9.98,10.0,6.114206896551723
"It takes over 90,000 square feet of land (that's two whole acres) to feed a medium-sized dog and 16,000 square feet of land to feed a cat.",86.37,10.8,0.0,11.6,5.58,14.5,9.07,6.0,4.964518518518519
"""It took awhile to actually cast a vote. I was conflicted,"" said McClain, who said he ultimately sided with City Councilman Peter Brown because of his business experience as an architect.",55.74,13.94,0.0,10.2,10.67,10.75,9.5,10.0,5.521274193548386
It took me numerous tried and an hour and a half to get it working with Windows XP!,87.05,9.42,0.0,4.9,3.36,9.0,8.04,9.0,4.8103333333333325
It took several hours Friday to deploy booms around the tanker.,77.23,4.4,0.0,6.8,8.97,5.5,9.92,6.0,3.171818181818182
"It took the corruption arrest of a sitting governor, 10 months of political sparring and two attempts before top lawmakers and reform advocates could agree on Illinois' first-ever sweeping restrictions on campaign donations.",21.06,21.68,0.0,22.5,16.37,23.5,12.93,13.0,9.140484848484848
"""It took years to dig our way into the crisis we've faced. It will take more than a few months to dig our way out,"" said Obama, who blames Republicans for the economic crisis he inherited.",78.59,10.53,0.0,7.6,5.97,10.5,8.48,11.0,4.5714444444444435
[iTunes] Subscribe to the Podcast directly in iTunes (enhanced AAC).,69.79,8.0,0.0,11.4,12.56,5.0,13.61,8.0,5.689
It was 6 p.m. on a Friday in April 1995 when Deana Hebert's ex-husband took their 18-month-old daughter for a weekend visit.,66.07,8.8,0.0,11.6,8.01,13.0,11.19,9.0,4.331909090909091
"""It was a bit of a shock to see everyone lying there - there was a lot of screaming,"" he said.",76.56,8.0,0.0,6.0,2.73,11.5,1.78,8.0,4.089
"It was a hard fought battle with 140 contenders, but the grand prize winner of Joystiq's Annual-ish Pumpkin Carving Contest 2009 is ... Antonio F.!",55.58,12.93,0.0,14.7,10.8,14.5,11.41,15.0,6.372999999999999
It was a little hard to find as they didn't have a large sign.,99.57,5.6,0.0,2.1,1.62,6.0,0.69,6.0,2.8129999999999997
"It was all kept hush-hush because Rogge, as a European representative, couldn't publicly endorse Beijing when two European cities -- Paris and Istanbul -- were also contenders, Yuan writes.",35.61,15.24,0.0,20.1,15.44,18.5,11.99,15.0,6.875629629629628
It was all meant as a marketing mantra.,88.74,8.2,0.0,1.4,2.86,4.0,7.98,3.0,3.042
It was also used to recover the first stage of Ares I-X following its test flight.,80.62,8.9,0.0,6.3,5.97,9.0,7.39,6.0,3.6325
It was a match made in heaven.,106.67,2.8,0.0,-1.9,-0.87,2.5,0.35,0.0,1.8259999999999998
"It was announced at the end of May, released as a 'Preview' product shortly after and 100,000 more invites were made available at the end of September.",60.99,10.8,0.0,13.9,8.77,14.5,10.24,9.0,6.875629629629628
It was another lie.,75.88,1.6,0.0,-0.7,-1.46,2.0,0.2,0.0,1.403
"""It was a relief,"" Clausen said.",99.23,2.4,0.0,2.8,1.38,2.0,9.2,2.0,3.1183333333333327
It was a spectacular feat of derring-do.,55.91,8.51,0.0,5.0,6.56,4.5,10.75,5.0,4.283142857142856
It was for that story the he was presented with a Hugo Award.,92.12,8.28,0.0,2.8,3.23,6.5,7.93,4.0,3.333538461538461
It was great and I highly recommend this restaurant for a great experience,66.74,11.35,0.0,7.5,9.5,7.5,9.14,8.0,5.318153846153846
"It was, I believe, the first time a major artist premiered a music video on Twitter.",80.62,6.4,0.0,6.9,6.38,7.0,7.39,7.0,4.17
It was instituted in January 2005.,48.47,9.07,0.0,4.3,6.25,4.0,9.2,4.0,3.1183333333333327
"""It was interesting for those of us on the inside because an outsider suddenly appeared and quickly made an impact,"" said Keith Martin, publisher of Sports Car Market Magazine, a leading collector publication.",29.52,18.05,0.0,20.3,13.36,22.5,10.54,18.0,8.098060606060606
It was Mr Blair who reopened diplomatic ties with the country when he was Prime Minister.,72.16,11.4,0.0,8.4,8.87,9.0,11.34,9.0,4.7075
"""It wasn't so much the show, it was Rove the personality that endeared itself to the Australian public in light of his tragic circumstances, and that kept viewers' interest there for a while.",46.44,16.84,0.0,17.8,10.22,19.5,9.1,15.0,7.316242424242423
"It was once said to be worth more than $100 million, but that was more than 200 cars ago.",94.49,7.6,0.0,5.7,3.48,8.5,7.07,5.0,3.518
It was only a decade ago that the school drew international acclaim when basketball coach Ken Carter forced members of his undefeated team to sit on the bench until they raised their grades.,54.9,16.84,0.0,17.6,10.92,19.5,10.54,11.0,6.795030303030302
It was only a year ago that the Motorola RAZR scored as the number one phone in America.,78.59,9.42,0.0,6.1,4.99,11.0,7.16,7.0,3.8547777777777776
"""It was probably one of the most phenomenal catches I've seen anyone make, ever,"" Notre Dame coach Charile Weis said.",59.64,12.0,0.0,11.6,9.4,12.0,9.37,12.0,5.379
"""It was really a disaster. The CEO had a breakdown. He was doing weird stuff I won't even talk about.""",90.05,4.68,7.8,1.5,2.09,3.0,7.92,2.0,3.0689999999999995
"""It was the only shred of anything that I knew she was alive,"" Hebert said.",98.55,6.0,0.0,5.2,4.17,6.5,6.49,6.0,2.9539999999999997
"It was to be a launching point to re-energize a career crippled by child-molestation allegations, Jackson's bizarre nomadic post-acquittal behavior, and persistent reports of his drug abuse.",35.61,19.69,0.0,20.7,16.71,19.5,14.33,20.0,8.468222222222222
"It was typical of the low-key, insider's posture Kirk has maintained since Governor Deval Patrick appointed him to temporarily fill the seat of the late Senator Edward M. Kennedy: discreet, in the background, studiously avoiding the spotlight.",52.7,14.97,0.0,14.1,13.92,12.75,12.24,14.0,6.7015540540540535
"It was very difficult to setup this Linksys print server; however, it can be done!",73.17,8.67,0.0,7.4,7.24,8.5,8.59,9.0,4.6739999999999995
It was very nice.,118.18,1.6,0.0,-3.0,-4.36,1.0,0.2,0.0,1.403
It will be quite serviceable as is for quite awhile yet.,94.15,8.04,0.0,3.8,5.26,5.5,5.62,6.0,3.171818181818182
it will connect and then die off.,106.67,2.8,0.0,0.3,1.57,2.5,0.35,0.0,1.8259999999999998
"It will continue to grow, but so shall the unbearable ease of pirating it.",74.19,14.17,0.0,6.1,6.55,9.0,8.84,7.0,4.655857142857142
It will give you faultless IEEE802-11G connectivity with 100% native Linux drivers.,50.84,8.13,0.0,12.8,15.18,6.0,14.76,15.0,6.114333333333333
"It will, he said, enable voters in the 23rd district to ""unite around a candidate who shares Republican principles and will serve the interests of his constituents in Congress by standing in opposition to the liberal policies of President Obama and Speaker Pelosi.'' (saying, essentially, that the GOP's candidate was not that person.)",17.68,27.24,0.0,30.2,13.25,35.5,13.12,13.0,11.070490566037735
"'It will not be enough for the banks to sell a brand name,' said a Treasury source.",96.52,6.8,0.0,5.6,3.94,7.5,10.05,4.0,3.741882352941176
"It will show up as ""Instant Discount(s)"" during checkout, only affter you've added the Mac to your shopping cart.",69.11,7.6,0.0,11.6,9.57,8.5,9.57,8.0,4.423263157894736
It will take 30 seconds to clone the data over the network to a friend who will pay $14.99 for a device with double capacity a year later.,68.44,12.63,0.0,11.2,5.4,15.0,10.66,11.0,6.6298571428571424
"It will take awhile to determine whether the cars in effect belong to the foundation or to the separate corporation, Treece said.",57.61,14.25,0.0,12.7,10.68,15.0,9.75,11.0,5.504636363636363
It worked and my iBook G3 sleeps well since then.,112.09,4.0,0.0,2.4,3.86,4.0,10.45,4.0,2.2489999999999997
It worked fine in Dapper Beta but now Gnome Baker won't burn squat.,92.12,5.2,0.0,5.0,5.5,5.5,10.35,6.0,3.995076923076923
it worked like a charm at the beginning but has gradually decreased in terms of speed of performance as an application (the connection speeds are a-ok).,53.55,16.55,0.0,14.6,10.45,18.0,10.39,10.0,6.158846153846154
It works fine for me as an 'eject' button from the system tray with the latest script by morgengenuss on Feisty.,84.0,10.3,0.0,9.7,7.31,11.5,9.94,10.0,5.0285714285714285
"It works just fine, even automatically connects when I boot up. (most of the time)",73.17,8.67,0.0,7.4,6.89,7.5,7.54,7.0,4.100666666666667
It works same for all users.,116.15,2.4,0.0,-0.5,0.45,2.0,9.2,0.0,1.6849999999999998
"It would also allow Ed Miliband, a former adviser to Brown, to throw his hat into the ring.",78.59,9.42,0.0,6.9,5.28,9.0,8.04,7.0,4.332555555555555
"""It would be difficult to detain another person while removing their clothes and one's own clothing,"" Mr Cavanagh said.",60.65,11.81,0.0,13.1,12.01,12.5,9.57,10.0,5.328526315789473
It would be nice if this functionality could be incorporated to the way linux handles unmounting external drives powered by the usb.,40.69,16.07,0.0,13.4,11.72,15.0,11.19,12.0,6.677363636363635
It wouldn't work until I had the bluetooth applet up there.,77.23,4.4,0.0,5.0,6.3,4.5,7.05,5.0,3.9536363636363636
"I used it for all my assignments at school, even doing 3D modelling on it.",81.63,11.33,0.0,4.9,4.57,8.5,8.59,5.0,4.6739999999999995
I used /usr/share/icons/gnome/scalable/places/gnome-fs-nfs.svg,-219.22,1.2,0.0,74.3,71.12,1.5,45.89,2.0,4.128666666666666
I've actually found a good deal for the cover I need through http://www.insurancechoice.co.uk.,49.82,11.35,0.0,14.8,14.83,7.5,11.57,15.0,3.995076923076923
I've also had things stop working and start again after a few minutes' timeout.,74.19,5.6,0.0,7.8,8.23,6.0,8.84,6.0,4.655857142857142
"I've always been a big fan of the phrase ""keep it simple, stupid,"" which apparently was created by a person who designed spy planes for a living.",60.99,13.76,0.0,12.8,7.32,15.5,9.07,12.0,5.601555555555555
"I've always told them about the dangers of drugs, but teenagers are at greater risk from alcohol, because it is so cheap, readily available and accepted.",62.01,15.02,0.0,14.7,10.45,16.0,10.39,11.0,6.158846153846154
I've been able to get beryl working now.,105.66,3.2,0.0,2.0,2.86,3.0,7.98,3.0,3.042
I've been an off and on user of Linux since the mid 90's and I have to say that hoary is the most impressive client Linux I've ever seen.,75.88,12.98,0.0,10.8,4.31,15.5,8.89,10.0,5.817655172413792
"I've been combing through Google searches and Sourceforge.net searches, but haven't come up w/ a real good solution for a diary/journal program on linux.",55.58,11.27,0.0,16.1,12.77,15.0,11.41,12.0,7.089666666666666
'I've been critical of Prof Nutt's advice but the Government should not have got itself into a situation where it is having a very public row with its own advisers.',49.49,16.0,0.0,14.9,8.66,19.0,9.34,9.0,6.215666666666666
"ive been experiencing wireless issues as well, but this was after installing beryl.",58.28,8.28,0.0,10.8,12.63,6.5,11.57,8.0,5.318153846153846
I've been looking forward to it for months now and can hardly wait...,92.12,5.2,0.0,5.7,5.5,5.5,6.71,6.0,3.333538461538461
I've been trying any solution presented here: with no luck.,69.79,12.0,0.0,7.1,8.5,6.0,8.87,9.0,4.828999999999999
"I've been wishing for XMMS' reliability (i.e. not crashing when adding media!) with GTK2 menus, and this is doing the trick.",67.08,10.3,0.0,12.4,8.94,11.5,12.2,9.0,5.847619047619046
I've downloaded and installed and uninstalled xmms twice now and still it won't work...,82.65,8.46,0.0,10.5,10.72,7.0,8.84,11.0,4.655857142857142
I've downloaded Ubuntu for SPARC machines...I have an 888P Sun Mobile Workstation.,42.38,11.47,0.0,12.5,13.73,8.0,13.44,11.0,6.114333333333333
"I've experienced many of the same issues...not so much with my iBook, but with my HP dv2000z.",79.6,9.15,0.0,8.4,6.67,10.5,9.12,7.0,4.247764705882352
ive got a hauppauge 150 i think.,106.67,2.8,0.0,-0.6,0.76,2.5,10.75,0.0,3.0545714285714283
I've got a Hauppauge WinCast/TV (56101 Rev E M2) that I've been meaning to try in my G3 B&W for a while.,91.45,8.8,0.0,7.3,2.73,11.0,12.62,6.0,5.113727272727273
I've got an NTFS mounted drive in my system as part of a system restore for a client.,87.05,7.2,0.0,5.4,3.71,8.0,8.92,6.0,4.8103333333333325
"I've had many problems with it, and at worst I'll pull the card out of the slot and hope it'll work when I plug it back in without requiring a reboot.",73.85,13.69,0.0,12.3,4.83,16.5,7.72,11.0,6.042258064516128
"""I've just found the sketch of his children's bedroom drawn on orders from the Stasi by his cleaning lady, who they code-named 'Frieda,' "" says Metzler, who reads thrillers in her spare time to relax.",62.35,13.6,0.0,18.6,9.76,18.5,12.75,13.0,7.1506470588235285
I've let it sit there for a little while but nothing seems to come up.,98.55,6.0,0.0,3.6,3.01,6.5,5.43,4.0,2.9539999999999997
I've never had luck with Nautilus CD/DVD creator,71.82,3.2,0.0,6.7,8.66,3.0,11.93,7.0,4.116999999999999
I've really been struggling with this.,73.85,2.4,0.0,7.5,9.15,3.0,6.57,7.0,3.1183333333333327
"(I've run Redhat, Mandrake and LinSpire and this is hands down the best client distribution!)",73.17,8.67,0.0,10.9,10.72,7.5,10.7,11.0,5.247333333333334
"I've sifted through user submissions, app updates and new arrivals to find our newest inductees:",64.71,8.67,0.0,11.8,12.69,7.5,12.8,8.0,6.9673333333333325
I've thusfar just been Unmounting the device and then unplugging it..,68.77,11.67,0.0,9.3,11.06,6.5,9.92,7.0,5.5172727272727276
"""I've told my management that I'll take a team and do the repairs,"" said S. Ramesh, the project manager for Essar.",86.2,6.1,0.0,4.9,5.02,5.25,8.67,6.0,3.5480714285714283
I've tried 4 or 5 different howto's and all lead to the same thing.,91.11,5.6,0.0,3.8,3.24,7.0,7.71,4.0,3.427285714285714
"I've tried alternatives to get DISPLAY :0 connected via VNC:vino - works, but only if a user is logged into the system already, which is not what I want x11vnc - This package looked promising, but I found it to be very unstable.",46.78,19.33,0.0,20.5,8.66,24.5,11.45,17.0,8.298048780487804
I've tried installing all dependencies and XMMS but I can't ./configure anything...,59.3,11.47,0.0,12.8,13.27,7.0,9.5,10.0,4.680999999999999
"I've tried Madison Square Gardens, but there doesn't seem to be any gigs on on the date of his birthday......",85.02,8.0,0.0,9.8,6.21,9.0,7.0,7.0,4.519
"I've tried SQUINKY's technique, and it works on my GC83.",103.63,4.0,0.0,5.7,6.18,4.0,10.45,4.0,3.1089999999999995
I've tried this method but it just crashes my computer,86.71,8.0,0.0,4.8,6.76,5.0,8.87,5.0,3.969
"I've tried to patch but the patch looks for a file ""drivers/acpi/ibm_acpi.c"" that doesn't exist.",81.63,6.0,0.0,11.8,10.37,7.5,10.7,6.0,4.6739999999999995
"I've used it primarily on my own network, so I can't comment much on roaming.",73.17,8.67,0.0,5.9,4.92,7.5,8.59,9.0,5.247333333333334
"I've used this one on Windoze: http://sourceforge.net/projects/powerjournal/, but I was unable to get it to work on Linux.",44.75,9.42,0.0,15.0,12.7,9.0,10.67,11.0,5.765888888888888
"""I want all my patients to walk a minimum of 30 minutes every single day.""",73.17,8.67,0.0,4.9,4.17,7.5,8.59,9.0,4.6739999999999995
"I wanted to be like Leo and Cameron and the ex-Mrs. Larry David and all those stars who live in houses covered with solar panels and bathe in self-sustaining irrigation systems, and who think cooking oil is something you put in your car's fuel tank.",65.56,10.78,0.0,11.3,8.65,12.25,10.37,11.0,5.7315000000000005
I wanted to know what your opinion is of the best icecream place in the Adirondack area?,88.06,6.8,0.0,7.0,6.67,7.5,9.12,7.0,5.259529411764705
"I wanted to try Rhythmbox, but it wanted to search through my music directories (which takes forever so I killed it).",67.08,12.21,0.0,10.8,8.41,12.5,8.44,9.0,5.438095238095238
I wanted to write you a quick note and let you know that I have never been ACTIVE in any political campaign.,74.53,10.62,0.0,8.2,5.4,12.0,7.6,8.0,5.504636363636363
i want to change the color of the background of thunar file manager..or even possibly use an image as a background...,67.08,10.3,0.0,10.8,8.12,11.5,6.93,9.0,5.0285714285714285
i want to run beryl and this is what stops me all the time i have a ati x1550 any help,100.92,8.4,0.0,3.9,0.93,10.5,7.69,4.0,3.8
"""I want to see both sides begin [negotiations] as soon as possible,"" Clinton said Saturday at an evening news conference with Netanyahu.",49.15,12.44,0.0,14.2,11.43,15.0,8.32,12.0,5.504636363636363
I want to use the SE GC89 to manipulate SMS that it receives.,83.66,8.28,0.0,2.8,3.23,6.5,10.35,3.0,3.995076923076923
I was able to get my Trendnet wireless running with ndiswrapper.,68.77,8.04,0.0,7.2,9.49,5.5,8.49,8.0,4.7354545454545445
"I was able to jump right in and working with Dougs sister Sandie, we were able to accomplish an enormous amount of processing of contributions.",63.02,14.8,0.0,13.5,10.16,15.5,9.3,11.0,6.084
"I was getting errors on an iBook clamshell, but you don't need it, you can still run any program, you just have to know the name of the program.",84.34,11.6,0.0,11.9,5.53,14.5,7.25,12.0,5.521103448275861
I was going by that guide but I am stuck on the step where I see if the hardware works.,93.48,8.0,0.0,4.6,2.15,9.0,1.78,5.0,3.659
I was having trouble with getting my old HP-T45 to hook up.,84.68,4.8,0.0,3.4,4.05,5.0,6.86,5.0,2.5309999999999997
"""I was just looking at the dailies, saying, 'Jesus, this is amazing!' I talked about this scene with these guys for a long time, but I never thought it would come to fruition.""",88.57,6.6,0.0,7.4,5.97,7.25,9.24,7.0,4.207924242424243
I was just thinking this might help you isolate the fault.,94.15,4.4,0.0,4.6,6.3,4.5,7.05,5.0,3.9536363636363636
I was looking for a journal program in Linux and the entry of this forum question was the first hit googling.,75.54,8.4,0.0,9.0,7.02,10.5,9.94,8.0,6.257142857142856
"I was screwing around, waiting for Mac OS X disks to arrive to perform a final install.",71.14,6.8,0.0,6.8,5.97,7.5,12.84,7.0,5.765411764705883
"i was searching to include this function with nautilus but imho it required knowledge of nautilus events :/ , the temporary solution is to make the following script and place it in /home/yourname/.gnome2/nautilus-script : more sympathetic with zenity ( sudo aptitude install zenity )",6.51,20.73,0.0,27.0,17.24,30.0,12.86,13.0,9.425179487179486
"I was using Hoary (5.04), I just upgraded to Breezy (5.10) through aptitude several days ago.",72.16,11.4,0.0,9.6,7.83,11.0,13.31,8.0,4.7075
I was wondering if anyone could help me to get antialiasing to work when using gl2 video ouput in mplayer.,68.1,12.0,0.0,9.1,7.66,12.0,10.16,9.0,5.379
I was wondering if anyone here has any experience getting a printer to work that is connected to a print server.,58.62,14.11,0.0,9.7,7.83,13.5,8.44,10.0,5.847619047619046
I went straight to Firefox and was able to print a page!,101.6,4.8,0.0,2.2,3.12,5.0,5.55,5.0,3.247666666666666
I went there with a friend of mind who comes from Poland every year to work at a local subshop.,85.02,8.0,0.0,6.5,4.47,9.0,7.79,8.0,4.519
I went to debian and downloaded:  mol-driver-linux mol-driver-macosx mol-driver-macos,20.04,8.04,0.0,22.8,25.43,7.5,14.61,13.0,6.885777777777777
"""I went to get out of bed to go to the toilet, which was down the other end of the flat. I couldn't get further than putting my legs over the bed. It's no respecter of age,"" she said in a 2006 interview with ABC television.",89.79,7.86,7.8,4.5,3.41,7.333333333333334,6.45,8.0,3.5618695652173913
"I went to see him and he was bare-tail, absolutely naked in that damn bed.",81.63,8.67,0.0,4.9,4.17,7.5,7.54,8.0,3.527333333333333
"""I will not say anything that could [put] any of my British colleagues in a difficult position,"" he said.",77.57,11.81,0.0,9.6,7.43,11.5,7.9,8.0,4.875894736842104
I will spend two nights in Detroit with family and Monday morning we will leave for Niagara Falls at 9am.,68.1,10.0,0.0,8.8,7.37,12.0,8.58,9.0,4.519
"I will use this for sure, but I also wonder if there is any way to map the eject -t command to the keyboard or make an Applet or something?",74.87,12.0,0.0,10.9,4.02,15.0,7.76,11.0,5.929
I wish I could say the same for the more senior people in the Pentagon.,81.63,8.67,0.0,4.0,3.76,7.5,6.49,6.0,4.100666666666667
"""I wish they caught me six years ago, eight years ago.""",111.07,4.4,0.0,3.3,3.17,4.5,5.62,4.0,2.3899999999999997
"I, with great sadness, deleted my Ubuntu partition over a year ago because I couldn't connect to the internet with this card.",57.61,12.44,0.0,11.8,9.11,13.0,7.6,12.0,5.504636363636363
"I wonder if, when the data comes off the wireless at a higher rate than the DTE rate, it simply flushes it, causing the pppd to freak out.",68.44,11.2,0.0,11.2,5.17,14.0,10.66,11.0,6.936999999999999
"""I worried every time,"" Madoff said in the interview.",62.34,8.04,0.0,6.6,7.39,4.5,9.35,7.0,4.974666666666666
"""I worry about them,"" said Mardiana, who, like the brothers, goes by one name.",91.11,5.6,0.0,7.4,6.14,6.0,6.59,6.0,4.041571428571428
I would be very grateful for the info from insiders :),69.79,8.0,0.0,4.3,5.6,5.5,7.29,6.0,3.969
"I would do an install with BootCamp so you can keep you OS X install while you test the Linux waters, or try Parallels and run them together.",68.44,12.63,0.0,11.7,6.22,16.0,8.97,9.0,6.3227142857142855
"""I would expect the globe to pick up, because I don't think it can go any lower than it's been during the last year,"" he said.",78.93,10.4,0.0,9.8,4.01,13.0,6.14,10.0,4.83576923076923
I would like music and nice but not too formal atmosphere.,77.23,8.04,0.0,4.6,6.3,5.5,7.05,6.0,3.9536363636363636
I would like to adapt it to use with a generic external usb hard drive.,90.09,8.67,0.0,4.0,3.76,7.5,8.59,4.0,4.100666666666667
I would like to Bump this for an answer!,104.64,3.6,0.0,-0.3,0.9,3.5,0.45,1.0,2.1079999999999997
I would like to cover Maid of the Mist and the Cave of the Winds?,98.55,6.0,0.0,2.1,1.44,6.5,6.49,6.0,2.9539999999999997
I would like to experience something special with him.,62.34,8.04,0.0,7.1,9.94,4.5,7.59,8.0,4.01911111111111
I would like to introduce you to myself and I.,86.71,8.0,0.0,1.0,2.12,5.0,5.71,6.0,3.1089999999999995
"I wouldn't take a car into Manhattan, the parking is difficult and very expensive.",57.27,14.17,0.0,8.8,9.45,9.0,8.84,9.0,5.270142857142856
I wouldn't think that trial and error incrementing it by 1 each time would hurt anything.,72.16,8.9,0.0,8.4,8.52,8.0,8.38,9.0,4.7075
I would recommend staying as close to Cooperstown as possible for one night.,66.74,11.35,0.0,8.2,9.96,8.5,7.93,8.0,4.6566153846153835
"I would say it is a $10 cab ride, or so, but don't know for sure.",106.0,6.4,0.0,1.3,-1.29,7.0,5.42,7.0,3.0949999999999998
"I wound up getting it working, though not at the full speed the thing's capable of.",80.62,8.9,0.0,6.6,5.97,8.0,7.39,6.0,4.17
"I wrote a full how-to in a new thread, here:",103.63,4.0,0.0,0.1,-0.21,4.0,0.5,1.0,2.2489999999999997
I wrote a little HOWTO here:  http://erikstambaugh.com/gprshowto.html,5.15,8.51,0.0,23.8,25.64,3.5,17.52,0.0,5.511714285714286
"Jackson, the perfectionist, did not have final control of this product and that, in itself, would have been unacceptable to him.",58.62,12.21,0.0,13.3,11.14,12.5,9.19,13.0,6.257142857142856
"Jacob Minkoff, of the studio Naughty Dog, explained its origin with a laugh.",83.66,5.2,0.0,8.2,9.03,5.5,10.35,6.0,5.318153846153846
"Jeff Downing, a lawyer from Oak Forest, wants a third HPD storefront, preferably along Antoine.",81.63,6.0,0.0,11.5,11.88,6.5,11.75,12.0,5.247333333333334
"Jeff Downing, a lawyer running in District A, says drainage needs a serious, studied approach, not ""quick Band-Aids.""",70.13,9.42,0.0,13.8,12.06,9.0,13.3,14.0,5.765888888888888
Jenn Brown is making it known that she is an up-and-comer in the Hottie Sports Reporter Pantheon.,71.14,6.8,0.0,9.5,9.05,8.5,10.05,10.0,5.259529411764705
"Jennifer Wiegandt Seidman she said holds out hope that her husband, Chief Petty Officer John Seidman, has managed to survive.",51.18,10.0,0.0,13.5,12.59,13.0,10.94,13.0,6.238999999999999
"Jim Hoft wrote that Clinton ""told the Pakistanis today that the democrats tax everything that moves"" and asserted that ""she's proud of it.""",73.51,12.68,0.0,14.0,11.03,14.5,9.58,9.0,5.203739130434782
Jimmy Clausen wandered the Notre Dame sideline worry-free with the clock ticking down and a blowout victory minutes away.,69.11,7.6,0.0,13.6,13.58,10.5,11.23,8.0,5.781157894736841
"Jines, 50, was reported missing by a friend and was last seen in a 12-foot motorized skiff.",71.14,11.51,0.0,7.8,6.67,10.5,10.98,8.0,4.753647058823529
"Jines' friend, Linda Jones, told The Associated Press that Jines boarded her disabled yacht and helped her maneuver to an area where they thought they had made anchor.",59.98,14.06,0.0,16.1,11.2,16.0,12.36,12.0,6.6298571428571424
"Joan Austoker, author of the NHS leaflets, admitted it had been a mistake to withhold information about potentially unnecessary treatment for a type of breast cancer called ductal carcinoma in situ.",31.55,20.14,0.0,19.6,14.17,21.5,13.32,20.0,7.984193548387097
"Job losses peaked at 741,000 in January, the biggest one-month plunge since 1949.",83.66,5.2,0.0,10.1,10.83,6.5,12.78,5.0,3.995076923076923
"* John Boehner, in the weekly GOP radio address, invokes an old health care bugaboo, the length of Hillary's health care plan:",75.54,8.4,0.0,12.6,10.04,11.0,9.94,8.0,5.438095238095238
"John Burton, chairman of the state Democratic Party and a longtime mentor of Newsom's, said the mayor has never defined himself by his political office and may be happy leading an environmental foundation or holding some other nonpolitical job after his term is up in 2011.",16.33,22.75,0.0,24.9,11.85,28.0,11.07,23.0,9.755434782608695
"John Kerry, a Massachusetts Democrat and member of the Senate Finance Committee, is leading a group of senators from states with more expansive Medicaid programs in seeking an additional 3 percent federal match, which would mean about $30 million extra a year for Massachusetts, according to his office.",14.3,25.87,0.0,27.7,13.83,33.0,12.27,13.0,10.473666666666665
"""John knows what he's doing, and he's fit and he's very smart. They're saying that they're still looking.""",96.18,3.6,0.0,6.3,6.41,3.5,8.47,4.0,3.5413333333333328
"John O'Quinn knew the law, a simple fact never in doubt.",94.15,4.4,0.0,3.8,4.21,4.5,8.49,5.0,2.3899999999999997
John Reid becomes home secretary and drops review.,71.82,8.2,0.0,7.9,10.8,4.0,13.9,8.0,4.116999999999999
"Johnson also accused Nutt of going beyond his remit and of ""lobbying for a change in government policy"".",44.75,11.64,0.0,10.3,9.51,12.0,10.67,12.0,6.243666666666666
"Johnson also blames the attack and much of the school's troubles on nonstudent ""outsiders"" - as several of the attack suspects are - who regularly trespass on campus, and they are much less respectful of authority than the students themselves.",24.45,19.41,0.0,22.9,13.36,25.0,11.34,19.0,8.91278947368421
"Johnson, teachers and students at least partially blame the attack on the lack of lighting, sturdy fencing or security cameras on the courtyard, which abuts a rough neighborhood on the northern end of the campus on 23rd Street.",41.37,17.31,0.0,21.1,11.67,22.0,11.34,17.0,8.686473684210526
"Jones also revealed that the stories about Jackson sleeping in a hyperbaric chamber and attempting to buy the Elephant Man bones weren't true, but ordered up by Jackson to insure riotous publicity.",39.0,16.55,0.0,19.0,12.83,19.0,11.64,19.0,8.30725
Jones led the Eagles with 62 rushing yards.,88.74,3.2,0.0,3.8,5.76,3.0,13.9,3.0,4.116999999999999
"Jopling, the author of the Nato report The Growing Threat Of Piracy, said that many people suspect terrorist groups are behind the capture of dozens of ships off the Horn of Africa.",64.38,14.05,0.0,16.7,9.93,17.0,11.14,17.0,6.9635
Juan Antonio Lozano Jr. strapped her into a safety seat and drove away.,83.66,8.28,0.0,6.5,7.24,6.5,10.35,7.0,3.333538461538461
"June Middleton was paralysed when she entered the respiratory chamber in 1949, aged 23, and doctors gave her a slim chance of survival.",56.59,12.68,0.0,13.2,10.74,13.5,11.64,11.0,6.6993913043478255
"Just an eighth of the Netflix library is available digitally, but we're still talking about more than 10,000 titles.",69.11,9.71,0.0,12.4,11.43,10.5,10.4,11.0,5.781157894736841
"Just a question, why don't you sync the drive with sdparm --command=sync before you spin it down?",88.06,6.8,0.0,9.5,8.0,7.5,7.27,8.0,4.247764705882352
"Just as his men were planning their next move, the IED decimated their Humvee.",82.65,8.46,0.0,7.4,8.23,7.0,8.84,9.0,4.041571428571428
Just as important is how difficult the trophies are to earn.,68.77,8.04,0.0,5.5,7.35,6.5,7.05,7.0,3.9536363636363636
"Just be a registered Flickr user, go here, and click ""Join Group?"" up on the top right, and start hitting ""send to group"" on your individual photos you want to add to the pool.",62.35,15.95,0.0,15.4,6.16,19.0,8.11,16.0,6.897705882352941
"""Just because you have pastors at a few megachurches by your side doesn't mean you've done anything for this community,"" Baker said.",57.61,10.62,0.0,13.4,10.39,12.0,6.88,11.0,5.113727272727273
